"Data Source","World Development Indicators",

"Last Updated Date","2022-09-16",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Austria","AUT","Intentional homicides, male (per 100,000 male)","VC.IHR.PSRC.MA.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.32969890959168","1.50847849123251","1.44318363225434","1.19292697492055","0.928967051144387","1.03535881869374","1.25062571602555","0.738081006604717","1.10758721128869","0.723108052183274","0.725835911378568","0.716677369048712","0.691371174260012","0.669514606837671","0.678219278137477","0.743281579916649","0.790927341006007","0.513517755817857","0.714254223766982","0.560650024572621","0.683153102905792","0.970219829983528","0.988024897263484","0.765623321460589","0.52223659691643","0.682568793519645","0.536368588762938","0.762090918832237","0.960671042447021","0.839120239126589","0.630674522168322","",
"Azerbaijan","AZE","Intentional homicides, male (per 100,000 male)","VC.IHR.PSRC.MA.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.21781237919237","2.99838241678001","3.13136738550394","3.23853157686247","3.15258178463635","2.90278004883771","2.02106402421482","2.16000766191397","2.65954660371869","2.15318130544193","2.98144161192134","",
"Burundi","BDI","Intentional homicides, male (per 100,000 male)","VC.IHR.PSRC.MA.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.96097400491349","9.48164153073919","7.61320164946077","9.85514287358643","","","","","",
"Belgium","BEL","Intentional homicides, male (per 100,000 male)","VC.IHR.PSRC.MA.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.55561311489217","3.54513918016103","3.67973221000429","2.6580765030475","2.75364532436543","2.48932800658638","2.55602745682381","2.35458866076","2.48730886413873","2.11587132714754","2.22522951187587","2.2493071628661","2.34663413948636","1.93959817401896","2.33960655380902","","","","","","","",
"Benin","BEN","Intentional homicides, male (per 100,000 male)","VC.IHR.PSRC.MA.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Burkina Faso","BFA","Intentional homicides, male (per 100,000 male)","VC.IHR.PSRC.MA.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bangladesh","BGD","Intentional homicides, male (per 100,000 male)","VC.IHR.PSRC.MA.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bulgaria","BGR","Intentional homicides, male (per 100,000 male)","VC.IHR.PSRC.MA.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.99630302987549","6.53629068176427","8.47409489182242","9.46889629096647","9.46427899402153","10.1366884383264","8.75472335928056","7.56858849881137","7.08158015526746","6.07704921713917","6.02124062965439","6.37217610586401","5.17859990154567","5.13659968301947","4.95757393561193","3.92979619595728","3.5544229273204","3.76911435845471","3.71276012866898","3.1601862696227","3.3465795191546","2.7276813734154","2.91286826777326","2.11389020341543","2.43960765435412","2.77013531397056","1.63924619982469","1.96990506506046","1.57614119189548","1.76467785511642","1.2744059860331","",
"Bahrain","BHR","Intentional homicides, male (per 100,000 male)","VC.IHR.PSRC.MA.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.129190453858983","1.13060071328343","0.744389166656328","0.616242424839993","0.972597077345782","0.944782204082404","1.0147270722418","0.425599829760068","0.600615029790505","0.189609943903898","","",
"Bahamas, The","BHS","Intentional homicides, male (per 100,000 male)","VC.IHR.PSRC.MA.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","21.5892679004809","34.0041390884379","24.079037031151","31.1075598341279","27.728821170955","","","39.6456384057555","25.7086175503438","26.5925955356697","28.9194003167989","27.1102418620863","27.8881684445374","34.8477588535087","42.7640220173622","39.6037227499385","45.441133077604","46.5097350689216","63.6939020261547","57.3036640303199","","62.8441132306323","71.5827496586054","56.682853981698","62.5728218184957","46.9779310492094","47.0327115150875","32.4449351886254","",
"Bosnia and Herzegovina","BIH","Intentional homicides, male (per 100,000 male)","VC.IHR.PSRC.MA.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.57861379151229","","","","","","","","","","4.2897224223791","2.87378135403902","3.52028006265015","","","","","","","3.05210377152823","2.52811566898612","1.94730156857923","2.2043276037772","1.84115334448382","2.28368657280129","2.3195742926934","1.80753053370954","1.94852009898482","1.90373838949873","1.979219432966","2.36523012133008","",
"Belarus","BLR","Intentional homicides, male (per 100,000 male)","VC.IHR.PSRC.MA.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.67948257902056","8.3872671737819","6.58698466531736","6.05059991127309","5.8491811489117","4.88799970946095","5.24826818559154","5.1051908623465","4.78097336519738","4.57239153593456","3.31941377333906","3.22755147035426","3.13642565205267","","",
"Belize","BLZ","Intentional homicides, male (per 100,000 male)","VC.IHR.PSRC.MA.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","46.7336755676344","","","","","55.8559930941681","69.9661559059804","67.8315113708627","77.5528810007282","51.5347512145409","62.9084087573039","61.0653121270159","66.9380469328225","69.9427643943277","64.9901990586904","60.222049505613","46.0151394865519","",
"Bermuda","BMU","Intentional homicides, male (per 100,000 male)","VC.IHR.PSRC.MA.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.4490405097","10.282654534","0","","","","10.009368983","","","","","","","","0","6.4532485263","","","","16.340609167","23.000973604","19.831399782","19.957584475","16.739420931","10.106282498","13.557410981","27.23570751","17.112276134","","","","",
"Bolivia","BOL","Intentional homicides, male (per 100,000 male)","VC.IHR.PSRC.MA.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14.1174409119698","","","","","","","7.87049341038363","7.39629359100336","8.69721886417879","5.94615728270084","8.68570566427394","","",
"Brazil","BRA","Intentional homicides, male (per 100,000 male)","VC.IHR.PSRC.MA.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","36.3545558126015","34.0294848362697","31.0148201759252","32.8717530979329","34.4226338785578","38.4888416126821","43.0634330331415","44.4738152318398","45.6259169750164","46.0625469288399","48.0471412678583","50.2093652570614","51.5280079487301","52.3678019023736","48.9434522507746","47.4750074161357","48.4883571796091","46.7580000018956","48.5682964532359","49.2617947956044","49.491243544952","48.9294131450342","52.5257851146928","52.4749591923971","54.8651418698444","53.1177423452413","55.6578542502906","57.4672797448879","49.8406548611935","38.8188309312085","41.9204976899536","",
"Barbados","BRB","Intentional homicides, male (per 100,000 male)","VC.IHR.PSRC.MA.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18.3209998486526","9.51784198795993","14.2220536645492","12.5957473607973","10.9816841197004","9.37822376441902","","","","","11.4984822003496","15.6880934191859","13.3261245345375","16.7000668002672","15.9794204433684","14.9586909994707","25.1396803081537","14.2087944959617","14.1479578539782","11.8646832871105","16.988462617996","18.3989932070917","14.6692093296171","12.4297172604903","16.0386093067676","20.3565300840434","14.5030528926339","20.2571207396743","17.3253925284245","30.9769257922529","27.3216185902045","",
"Brunei Darussalam","BRN","Intentional homicides, male (per 100,000 male)","VC.IHR.PSRC.MA.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.7903674129479","3.7291401224401","2.44914953282473","1.20569812935935","1.18518518518519","","","","","","","","","","","","","","","","","","","","","",
"Bhutan","BTN","Intentional homicides, male (per 100,000 male)","VC.IHR.PSRC.MA.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.60404460207594","1.28465352894324","2.28137460424488","1.75083164503139","1.48136443540263","3.41390973134969","",
"Botswana","BWA","Intentional homicides, male (per 100,000 male)","VC.IHR.PSRC.MA.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Central African Republic","CAF","Intentional homicides, male (per 100,000 male)","VC.IHR.PSRC.MA.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29.793190788","","","","","",
